symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status,latest_date,latest_close,history_rows,avg_volume_50d,avg_traded_value_50d,liquidity_pass,risk_tier,liquidity_reason
ARVSMART,Arvind SmartSpaces,10457,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,583.5,1238,342859,194648259,True,MEDIUM,PASS
ASHAPURMIN,Ashapura Minechem,203,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,640.3,1238,765233,449477659,True,MEDIUM,PASS
ASHIANA,Ashiana Housing,24403,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,356.25,1238,120088,39053830,True,HIGH,PASS
ASHOKA,Ashoka Buildcon,20182,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,125.09,1238,1521284,190004124,True,MEDIUM,PASS
ASIANENE,Asian Energy Services,7030,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,310.05,1087,184900,54449484,True,HIGH,PASS
ASIANTILES,Asian Granito,14889,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,59.41,1238,4923921,329323669,True,MEDIUM,PASS
ASKAUTOLTD,ASK Automotive,20152,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,452.25,619,234857,101814872,True,MEDIUM,PASS
ASTEC,Astec Lifesciences,17728,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,754.75,1238,316348,211950807,True,MEDIUM,PASS
ASTRAMICRO,Astra Microwave Products,11618,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1087.2,1238,444169,457400694,True,MEDIUM,PASS
ATALREAL,Atal Realtech,15649,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,28.2,1163,4325154,107140359,True,MEDIUM,PASS
ATLANTAELE,Atlanta Electricals,759007,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1646.1,155,260165,366278140,True,MEDIUM,PASS
ATULAUTO,Atul Auto,30023,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,506.65,1238,699231,337681889,True,MEDIUM,PASS
AURIONPRO,Aurionpro Solutions,12022,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,734.5,1238,220963,184277628,True,MEDIUM,PASS
AURUM,Aurum PropTech,10310,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,172.77,1238,112027,20032775,True,HIGH,PASS
AUTOIND,Autoline Industries,14106,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,77.62,1238,237519,16294878,True,HIGH,PASS
AVADHSUGAR,Avadh Sugar & Energy,21410,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE,2026-05-18,480.9,1238,151883,66946055,True,HIGH,PASS
AVALON,Avalon Technologies,15058,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1317.0,764,353514,418867253,True,MEDIUM,PASS
AVANTEL,Avantel,24610,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,148.15,444,2312243,335842833,True,MEDIUM,PASS
AVANTIFEED,Avanti Feeds,7936,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1257.1,1238,873953,1195938729,True,LOW,PASS
AVL,Aditya Vision,25984,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,551.35,376,210204,105499552,True,MEDIUM,PASS
AWFIS,Awfis Space Solutions,23864,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,322.25,486,534181,161781033,True,MEDIUM,PASS
AWHCL,Antony Waste Handling Cell,1797,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,463.85,1238,413890,205585513,True,MEDIUM,PASS
AXISCADES,Axiscades Engineering Technologies,9436,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,2009.1,1238,165842,286063963,True,MEDIUM,PASS
