symbol,company_name,industry,security_id,exchange_segment,instrument,status
HEG,H.E.G. Ltd.,Capital Goods,1336,NSE_EQ,EQUITY,ACTIVE
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,1348,NSE_EQ,EQUITY,ACTIVE
HEXT,Hexaware Technologies Ltd.,Information Technology,29666,NSE_EQ,EQUITY,ACTIVE
HFCL,HFCL Ltd.,Telecommunication,21951,NSE_EQ,EQUITY,ACTIVE
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,1363,NSE_EQ,EQUITY,ACTIVE
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,17939,NSE_EQ,EQUITY,ACTIVE
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,1406,NSE_EQ,EQUITY,ACTIVE
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,1394,NSE_EQ,EQUITY,ACTIVE
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,1424,NSE_EQ,EQUITY,ACTIVE
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,2056,NSE_EQ,EQUITY,ACTIVE
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,19813,NSE_EQ,EQUITY,ACTIVE
HONAUT,Honeywell Automation India Ltd.,Capital Goods,3417,NSE_EQ,EQUITY,ACTIVE
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,14334,NSE_EQ,EQUITY,ACTIVE
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,20825,NSE_EQ,EQUITY,ACTIVE
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,25844,NSE_EQ,EQUITY,ACTIVE
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,760407,NSE_EQ,EQUITY,ACTIVE
ICICIBANK,ICICI Bank Ltd.,Financial Services,4963,NSE_EQ,EQUITY,ACTIVE
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,21770,NSE_EQ,EQUITY,ACTIVE
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,18652,NSE_EQ,EQUITY,ACTIVE
IDBI,IDBI Bank Ltd.,Financial Services,1476,NSE_EQ,EQUITY,ACTIVE
IDEA,Vodafone Idea Ltd.,Telecommunication,14366,NSE_EQ,EQUITY,ACTIVE
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,11184,NSE_EQ,EQUITY,ACTIVE
IEX,Indian Energy Exchange Ltd.,Financial Services,220,NSE_EQ,EQUITY,ACTIVE
IFCI,IFCI Ltd.,Financial Services,1491,NSE_EQ,EQUITY,ACTIVE
IGIL,International Gemological Institute Ltd.,Services,28378,NSE_EQ,EQUITY,ACTIVE
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,11262,NSE_EQ,EQUITY,ACTIVE
IIFL,IIFL Finance Ltd.,Financial Services,11809,NSE_EQ,EQUITY,ACTIVE
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,28125,NSE_EQ,EQUITY,ACTIVE
INDGN,Indegene Ltd.,Healthcare,23693,NSE_EQ,EQUITY,ACTIVE
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,1512,NSE_EQ,EQUITY,ACTIVE
INDIACEM,India Cements Ltd.,Construction Materials,1515,NSE_EQ,EQUITY,ACTIVE
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,10726,NSE_EQ,EQUITY,ACTIVE
INDIANB,Indian Bank,Financial Services,14309,NSE_EQ,EQUITY,ACTIVE
INDIGO,InterGlobe Aviation Ltd.,Services,11195,NSE_EQ,EQUITY,ACTIVE
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,5258,NSE_EQ,EQUITY,ACTIVE
INDUSTOWER,Indus Towers Ltd.,Telecommunication,29135,NSE_EQ,EQUITY,ACTIVE
INFY,Infosys Ltd.,Information Technology,1594,NSE_EQ,EQUITY,ACTIVE
INOXWIND,Inox Wind Ltd.,Capital Goods,7852,NSE_EQ,EQUITY,ACTIVE
INTELLECT,Intellect Design Arena Ltd.,Information Technology,5926,NSE_EQ,EQUITY,ACTIVE
IOB,Indian Overseas Bank,Financial Services,9348,NSE_EQ,EQUITY,ACTIVE
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,1624,NSE_EQ,EQUITY,ACTIVE
IPCALAB,Ipca Laboratories Ltd.,Healthcare,1633,NSE_EQ,EQUITY,ACTIVE
