symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status
AGARIND,Agarwal Industrial Corporation,3389,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGARWALEYE,Dr. Agarwal's Health Care,29452,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGARWALFT,Agarwal Float Glass,14267,NSE_EQ,EQUITY,ES,ST,1500,,ACTIVE
AGARWALTUF,Agarwal Toughened Glass,27309,NSE_EQ,EQUITY,ES,SM,1200,,ACTIVE
AGI,AGI Greenpac,1412,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGIIL,AGI Infra,24445,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGNI,Agni Green Power,10491,NSE_EQ,EQUITY,ES,SM,2500,,ACTIVE
AGRITECH,Agri-Tech,11072,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGROPHOS,Agro Phos,9046,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AGUL,AG Universal,15147,NSE_EQ,EQUITY,ES,SM,2000,,ACTIVE
AHCL,Anlon Healthcare,758968,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHIMSA,Ahimsa Industries,10770,NSE_EQ,EQUITY,ES,ST,3000,,ACTIVE
AHLADA,Ahlada Engineers,2004,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHLEAST,Asian Hotels (East),19438,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHLUCONT,Ahluwalia Contracts,17833,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AHLWEST,Asian Hotels (West),19370,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
AIAENG,AIA Engineering,13086,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AIIL,Authum Inv & Infr,23553,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AILIMITED,Abhishek Integrations,4654,NSE_EQ,EQUITY,ES,ST,1500,,ACTIVE
AIMTRON,Aimtron Electronics,23984,NSE_EQ,EQUITY,ES,SM,200,,ACTIVE
AIRAN,Airan,9897,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AIROLAM,Airo Lam,6068,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AISL,ANI Integrated Services,482,NSE_EQ,EQUITY,ES,SM,600,,ACTIVE
AJANTPHARM,Ajanta Pharma,8124,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AJAXENGG,Ajax Engineering,29624,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AJMERA,Ajmera Realty & Infra,17307,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AJOONI,Ajooni Biotech,3403,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKANKSHA,Akanksha Power & Infrastructure,21132,NSE_EQ,EQUITY,ES,ST,1000,,ACTIVE
AKASH,Akash Infra Projects,13510,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKCAPIT,AK Capital Services,762538,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKG,AKG Exim,2176,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKI,AKI India,14890,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKIKO,Akiko Global Services,24307,NSE_EQ,EQUITY,ES,ST,800,,ACTIVE
AKSHAR,Akshar Spintex,9558,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKSHARCHEM,AksharChem,20178,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AKSHOPTFBR,Aksh Optifibre,8595,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
AKUMS,Akums Drugs & Pharma,24715,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALANKIT,Alankit,9921,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALBERTDAVD,Albert David,17256,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALCODIS,Alcokraft Distilleries,18763,NSE_EQ,EQUITY,ES,ST,625,,ACTIVE
ALEMBICLTD,Alembic,79,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALGOQUANT,Algoquant Fintech,761270,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALICON,Alicon Castalloy,13656,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALIVUS,Alivus Life Sciences,5265,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALKALI,Alkali Metals,16959,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALKEM,Alkem Laboratories,11703,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALKYLAMINE,Alkyl Amines Chemicals,4487,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALLCARGO,Allcargo Logistics,13501,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALLDIGI,Alldigi Tech,11798,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALLETEC,All E Technologies,13203,NSE_EQ,EQUITY,ES,SM,400,,ACTIVE
ALLTIME,All Time Plastics,758448,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALMONDZ,Almondz Global Securities,16719,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALOKINDS,Alok Industries,17675,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALPA,Alpa Laboratories,14848,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALPEXSOLAR,Alpex Solar,22688,NSE_EQ,EQUITY,ES,SM,100,,ACTIVE
ALPHAGEO,Alphageo,14597,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ALUWIND,Aluwind Infra - Tech,23474,NSE_EQ,EQUITY,ES,SM,1500,,ACTIVE
AMAGI,Amagi Media Labs,760740,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMANTA,Amanta Healthcare,758909,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMBAAUTO,Amba Auto Sales and Services,763256,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
AMBALALSA,Ambalal Sarabhai Enterprises,762543,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMBANIORGO,Ambani Orgochem,4083,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
AMBER,Amber Enterprises,1185,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMBEY,Ambey Laboratories,24418,NSE_EQ,EQUITY,ES,ST,2000,,ACTIVE
AMBICAAGAR,Ambica Agarbathies,11496,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMBIKCO,Ambika Cotton Mill,15234,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMBUJACEM,Ambuja Cements,1270,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMCL,ANB Metal Cast,758427,NSE_EQ,EQUITY,ES,SM,400,,ACTIVE
AMDIND,Amd Industries,14398,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMEYA,Ameya Precision Engineers,10898,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
AMIABLE,Amiable Logistics,11939,NSE_EQ,EQUITY,ES,SM,1600,,ACTIVE
AMIRCHAND,Amir Chand Jagdish Kumar (Exports),761670,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AMJLAND,AMJ Land Holdings,2598,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
